survey_area,est_year,season,n_species,numlen_adj_total,mean_len_cm,med_len_cm,min_len_cm,max_len_cm,mean_wt_kg,med_wt_kg,min_wt_kg,max_wt_kg,area_titles,bot_temp,overall_avg_btemp,bot_temp_anom,total_weight_lb
GB,1970,Fall,37,7669.000000000016,32.86297053106711,29,3,105,0.5595126606194829,0.22786968812778713,1.548757726287886e-4,12.899787607051676,Georges Bank,10.944702190996678,11.364273827197954,-0.419571636201276,74995068.16510703
GB,1970,Spring,37,13123.000000000053,32.84456055681875,27,4,133,0.5086031138237006,0.18034718409189693,5.006714932400886e-4,24.218154596176937,Georges Bank,5.7250537959495444,6.301109876470461,-0.5760560805209174,74995068.16510703
GB,1971,Fall,36,10014.000000000036,22.296992519359247,21,1,106,0.2645725225261217,0.09544361488764556,5.366685850612837e-6,13.868505239584785,Georges Bank,11.144823553465791,11.364273827197954,-0.21945027373216064,80274755.90552185
GB,1971,Spring,34,6263.000000000011,34.02374827483528,30,4,127,0.6091333772212353,0.22703746110118753,5.006714932400886e-4,21.02724539974517,Georges Bank,5.557278757094916,6.301109876470461,-0.7438311193755451,80274755.90552185
GB,1972,Fall,39,10633.000000000047,26.746065601472804,26,2,133,0.37662329902700686,0.136050746226993,1.2114625991347348e-4,16.05692619618659,Georges Bank,10.92275889646741,11.364273827197954,-0.44151493073054304,74814568.4980859
GB,1972,Spring,34,8507.000000000013,33.847900943833274,29,2,124,0.6319760064126811,0.21385239919152485,9.37943326539252e-5,19.06532877386568,Georges Bank,6.169319392217805,6.301109876470461,-0.13179048425265627,74814568.4980859
GB,1973,Fall,41,14289.000000000016,33.527869149356846,30,1,119,0.5914408683661599,0.23589206709708224,2.904643193967569e-6,20.32679002321389,Georges Bank,11.11133018166698,11.364273827197954,-0.2529436455309728,83058537.08720696
GB,1973,Spring,39,17752.000000000022,35.98409565359994,32,3,148,0.6677085402897116,0.3032707635227555,3.097643537660559e-4,33.58796724369287,Georges Bank,6.11895856749009,6.301109876470461,-0.18215130898037124,83058537.08720696
GB,1974,Fall,37,19774.00000000003,13.997998360859658,7,2,104,0.1527026398682328,0.00207115802077556,4.477530764288502e-5,14.294970710969649,Georges Bank,11.947451697553316,11.364273827197954,0.5831778703553621,72658611.83584319
GB,1974,Spring,37,7978.000000000025,35.287977216164016,32,4,120,0.7103045367330251,0.2512937476340248,5.378131793918438e-4,17.6775810243435,Georges Bank,6.652356167125405,6.301109876470461,0.3512462906549443,72658611.83584319
GB,1975,Fall,40,18672.99999999996,24.2701612164746,23,2,103,0.267694869135401,0.10191576396158196,1.2114625991347348e-4,16.5569845731957,Georges Bank,12.165696408925882,11.364273827197954,0.8014225817279286,80273120.78027312
GB,1975,Spring,39,10112.999999999964,32.65884584281695,26,3,118,0.6184098804478296,0.14330869798114673,1.1958860989804572e-4,16.791240668173533,Georges Bank,6.7033215006239075,6.301109876470461,0.4022116241534466,80273120.78027312
GB,1976,Fall,42,15753.000000000024,32.493065024158916,33,1,115,0.43111015426562505,0.290101030423852,2.4143388100739943e-5,17.143289593382335,Georges Bank,11.342460574593217,11.364273827197954,-0.02181325260473876,79143183.17070922
GB,1976,Spring,37,16772.999999999953,33.1131257814055,25,4,126,0.5211713940572285,0.1596584433038328,3.097643537660559e-4,20.52460487861279,Georges Bank,6.876086495744321,6.301109876470461,0.5749766192738601,79143183.17070922
